Title,Name of Software Company,,GCU Contact,Date Submitted,Date of Launch,Date of Renewal
LabView,,,,8/6/19,8/6/19,8/6/19
LambdaTest LIVE,LambdaTest,,,11/24/20,11/24/20,11/24/20
LAPS,,,,2/8/20,1/1/20,1/1/20
LastPass,LogMeIn USA Inc,1671.9,,8/4/20,8/4/20,8/4/20
Launchy,,,,8/6/19,11/29/22,
Learning Management System,Prometheus Development Inc,79500,,7/7/20,7/7/20,7/7/20
Leica,,,,8/6/19,8/6/19,8/6/19
Liberty Player,,,,8/6/19,8/6/19,8/6/19
Lightwright,,,,4/1/20,11/29/22,
LinkedIn Sales Navigator,LinkedIn Corporation,15200,,11/5/20,11/5/20,11/5/20
Linux Academy,"Linux Academy, Inc",,,11/3/20,11/3/20,11/3/20
Lisa Analytics,,,,12/11/19,12/11/19,12/11/19
LivePerson,,,,8/6/19,8/6/19,8/6/19
LLEAP,,,,8/15/19,8/15/19,8/15/19
LLEAP ,,,,8/15/19,11/29/22,
Local SEO Monitor,MOZ,,,1/9/21,1/9/21,1/9/21
Logger Pro 3,,,,8/6/19,8/6/19,8/6/19
Logitech Gaming Software,,,,1/13/20,11/29/22,
Logitech Options,,,,12/6/21,11/29/22,
Logitech Unifying,,,,2/4/21,11/29/22,
Logitech Unifying Software,,,,1/2/21,11/29/22,
Logitech Webcam Software (LWS251.exe),,,,8/6/19,8/6/19,8/6/19
LogMeIn Last Pass,LogMeIn USA Inc,,,12/30/20,12/30/20,12/30/20
Logos,,,,10/1/20,10/1/20,10/1/20
Loom,,,,8/6/19,8/6/19,8/6/19
Lope Shops,Joomag Inc,,,10/23/20,10/23/20,10/23/20
Lopenet,,,,2/9/20,1/1/20,1/1/20
Lopes Learning Center,,,,2/10/20,1/1/20,1/1/20
